Clinic Name,City,State,Website,Phone,Notes
Ageless Wellness,Peachtree City,GA,agelesswellnessptc.com,,Medically managed programs
Thrive Health Solutions,Denver,CO,semaglutidecolorado.com,303-790-8446,Compounded semaglutide
AFC Urgent Care,Denver,CO,afcurgentcare.com,,Multiple Denver locations
Denver Regenerative Medicine,Denver,CO,denverregenerativemedicine.com,720-583-1648,FDA-approved medications
MedNOW Clinics,Denver Metro,CO,mednowclinics.com,,Also Colorado Springs
Millard Plastic Surgery,Denver,CO,millardplasticsurgery.com,303-792-5665,Board-certified surgeons
Weight Loss MD,Cherry Creek,CO,weightlossmdcherrycreek.com,,Personalized GLP-1 plans
HydraMed,Denver,CO,hydramed.com,,Streamlined program
Innovative Care,Chicago,IL,innovative-care.com,,10 Chicago clinics - since 2015
TeleSlim Clinic,Chicago,IL,teleslimclinic.com,,$99 initial visit
Chicago Weight Loss Clinic,Schaumburg,IL,chicagoweightlossclinic.com,,Also Chicago/Rockford
Doctor's Orders,Lakeview,IL,docordersweightloss.com,,Physician-run clinic
Innovative Vitality,Chicago,IL,innovative-vitality.com,,Monthly membership model
Aayu Clinics,Chicago,IL,aayuclinics.com,,Naturopathy + medication options
ArtMedica,Chicago,IL,skuramd.com,,Magnificent Mile
Synergy Face + Body,Raleigh,NC,feelsynergy.com,,Also Cary - 15-20% weight loss
Integrity Wellness MD,Charlotte,NC,integritywellnessmd.com,980-701-9228,Flat monthly fee
Dr. V / Injectables by Dr. V,Raleigh,NC,injectablesbydrv.com,,Personalized plans
BodyLase,Raleigh,NC,getbodylase.com,,12-week program
Allure Medical,Raleigh,NC,alluremedical.com,,20+ years experience
Learn2Lose,Charlotte,NC,learn2lose.com,,10+ years - doctor-supervised
Aesthetic Surgery of Charlotte,Charlotte,NC,aestheticsurgerycharlotte.com,,Compounded semaglutide
Urban Med Spa,Charlotte,NC,urbanmedspacharlotte.com,,5-15% weight loss
Revenge MD,Las Vegas,NV,revengemd.com,702-335-7033,First tirzepatide provider in LV
TrimBody M.D.,Las Vegas,NV,trimbodymd.com,,Licensed medical team
Sky Health Wellness,North Las Vegas,NV,skyhealthnv.com,,$249-399/mo tirzepatide
The Look MedSpa,Las Vegas,NV,thelookmedspalv.com,,Semaglutide then tirzepatide path
Las Vegas Body Sculpting,Henderson,NV,lvbodysculpting.com,702-899-8100,Dr. Mustafa Ahmed
Reigning Wellness,Las Vegas,NV,reigningwellness.net,,NV/CA/AZ telehealth
Seattle Plastic Surgery,Seattle,WA,seattleplasticsurgery.com,206-324-1120,Semaglutide + L-Carnitine
Skin Haven Clinic,Seattle,WA,skinhavenclinic.com,,Compounded weekly injections
Well Medical Arts,Seattle,WA,wellmedicalarts.com,,Holistic approach
Lux Aesthetics,Seattle,WA,luxaestheticsseattle.com,,LuxLean and Fit program
Allure Esthetic,Seattle,WA,allureesthetic.com,,$399 starting package
Rise Regenerative Medicine,Seattle,WA,riseregenmed.com,,Lower Queen Anne
Flow Wellness,Seattle,WA,theflowwellness.com,,$299/mo - Top 3 rated
Northwest Face & Body,Kirkland,WA,nwface.com,,Bellevue/Kirkland
Weight Loss and Wellness Center,Union,NJ,weightlossandwellnesscenter.com,,Elizabeth/Westfield area
North Jersey Health & Wellness,Multiple NJ,NJ,njhwllc.com,,5 locations - all ages
The Peer Group,Florham Park,NJ,peergroupnj.com,973-822-3000,40+ years experience
4Ever Young,Morristown,NJ,4everyoungantiaging.com,,FDA-approved medications
Jersey Weight Loss Clinic,Toms River,NJ,jerseyweightlossclinic.com,,Doctor-supervised
New Jersey Trim Clinic,NJ,NJ,njtrimclinic.com,609-382-TRIM,Licensed compounding pharmacies
Advanced Medical Spa,Flemington,NJ,advmedicalspa.com,,Dr. Sinha - board certified
Dr. Robert Fortino,South Jersey,NJ,drfortino.net,,25+ years experience
Zen Aesthetics,Morristown,NJ,zenaestheticsspa.com,,15-20% weight loss
Scotch Plains Medical Center,Scotch Plains,NJ,scotchplainsclinic.com,,Multiple GLP-1 options
The Falcone Center,Bala Cynwyd,PA,drvictoriafalcone.com,215-586-3304,Obesity medicine specialist
Dr. Fortino,Philadelphia,PA,drfortino.net,215-336-8000,Multi-county coverage
Pittsburgh Center for Plastic Surgery,Pittsburgh,PA,pittsburghplasticsurgery.com,412-802-6100,Dr. Armando Davila
The Face Loft,Pittsburgh,PA,thefaceloft.com,,Direct-to-consumer Rx
Dr. G's Weight Loss,Philadelphia,PA,drgsweightlossphiladelphia.com,610-904-9486,CURB program
Lohner Plastic Surgery,Philadelphia,PA,lohnerplasticsurgery.com,,20+ years serving area
Sanctuary Wellness Institute,Wayne,PA,sanctuarywellnessinstitute.com,,Statewide telehealth
NuBody Concepts,Nashville,TN,nubodyconcepts.com,,Also Memphis - compounded
61Five Health & Wellness,Nashville,TN,61five.com,,Long-term results focus
Pro Health Wellness Clinic,Memphis,TN,prohealthmemphis.com,,Comprehensive program
One Life Wellness Clinic,Memphis,TN,onelifewellnessclinic.com,,Personalized GLP-1
Body Shots,Memphis,TN,bodyshotsclinic.com,,TN & AR telehealth
Midsouth Bariatrics,Memphis,TN,midsouthbariatrics.com,,Club New You program
Amy Brenner MD,Cincinnati,OH,dramybrenner.com,,Virtual option - 8 week program
Muse Med Spa,Columbus,OH,musemed.com,,15-20% weight loss
Cru Clinic,Columbus,OH,cruclinic.com,,$305/mo + $50 initial fee
A Younger You Aesthetics,Powell,OH,ayoungeryouohio.com,,Maintenance program included
Reverse Aesthetics,Columbus,OH,reverse-aesthetics.com,,Metabolic health focus
Columbus Low T,Columbus,OH,columbuslowt.com,,14.9% avg weight loss
Lytle Plastic Surgery,Detroit,MI,lytleplasticsurgery.com,,Comprehensive assessments
RescueMD,Detroit,MI,myrescuemd.com,,Virtual program available
RegenCen / BOYD Detroit,Detroit,MI,regencen.com,,Gustav Lo MD - downtown
TrimRx,Detroit,MI,trimrx.com,,Affordable - flexible payment
Skin & Vein Center,Detroit,MI,skinandvein.com,,Detroit & Flint areas
Medical Weight Loss Clinic,Michigan,MI,mwlc.com,,35+ years - 20+ locations
Joseph A Russo MD,Boston,MA,josepharussomd.com,617-964-1440,Harvard-trained
Boston Medical Aesthetics,Boston,MA,bostonmedicalaesthetics.net,,CareGLP partnership
JL Plastic Surgery,Boston,MA,jlplasticsurgery.com,617-340-2822,Dr. Jeffrey Lee
Boston Vitality,Boston,MA,bostonvitality.com,,Men's weight loss focus
Neem Medical Spa,Boston,MA,neemmedicalspa.com,,Also Winchester/Salem NH
Icon MD,Boston,MA,iconmd.com,,10-20% weight reduction
Clareo Plastic Surgery,Boston,MA,clareoplasticsurgery.com,617-793-7272,Custom-tailored programs
Boston Plastic Surgery,Boston,MA,bostonplastic.com,617-786-7600,Semaglutide + tirzepatide
Fridays,Nationwide,US,joinfridays.com,,Telehealth - compounded GLP-1
SynergyRx,Nationwide,US,synergyrx.com,,$200 flat - all 50 states
Shed,Nationwide,US,n/a,,$199-299/mo - 50 states
MEDVi,Nationwide,US,medvi.com,,$179 first month
DrMedHealth,Nationwide,US,drmedhealth.com,,2-24 hour provider response
Lemonaid Health,Nationwide,US,lemonaidhealth.com,,Ozempic/Wegovy/compounded
Hims & Hers,Nationwide,US,hims.com,,$499/mo - Novo partnership
LifeMD,Nationwide,US,lifemd.com,,$499/mo - Novo partnership
Ro,Nationwide,US,ro.co,,$499/mo - Novo partnership
